week,ruralpop,ruraldeaths,ruraldeathrate,urbanpop,urbandeaths,urbandeathrate,excessdeathsYN,excessdeath%,ruralicubedsavg,urbanicubedsavg,ruralicuoccupancy,urbanicuoccupancy,ruralinptbeds,urbaninptbeds
1/17/2021,6139339.0,136.0,2.215222192486846,4987417.0,116.0,2.3258532422694955,true,12.5666974458381,1.0227272727272727,11.871232876712327,0.3977272727272727,9.14931506849315,16.738636363636363,114.6041095890411
1/24/2021,6139339.0,126.0,2.052338207745166,4987417.0,104.0,2.0852477344485134,false,0.0,1.0227272727272727,11.758904109589041,0.4318181818181818,8.836986301369862,16.747727272727275,113.79999999999997
1/31/2021,6139339.0,100.0,1.6288398474167987,4987417.0,78.0,1.5639358008363846,false,0.0,1.0227272727272727,11.382191780821918,0.509090909090909,8.636986301369863,16.740909090909092,110.88630136986302
2/7/2021,6139339.0,93.0,1.5148210580976225,4987417.0,81.0,1.6240871777916306,false,2.32124067109688,1.0227272727272727,11.102739726027396,0.5522727272727272,8.101369863013698,16.68409090909091,110.57123287671232
2/14/2021,6139339.0,67.0,1.091322697769255,4987417.0,55.0,1.102775244179502,false,0.0,1.0227272727272727,11.1,0.6090909090909091,8.343835616438357,16.745454545454546,109.72191780821917
2/21/2021,6139339.0,45.0,0.7329779313375593,4987417.0,37.0,0.7418669824480286,false,0.0,1.0227272727272727,11.402739726027395,0.43409090909090914,8.676712328767124,16.779545454545456,111.26164383561644
2/28/2021,6139339.0,56.0,0.9121503145534071,4987417.0,42.0,0.842119277373438,false,2.3520264110007,1.0295454545454545,11.486301369863018,0.5204545454545454,8.52191780821918,16.711363636363636,111.05068493150684
3/7/2021,6139339.0,53.0,0.8632851191309031,4987417.0,39.0,0.7819679004181923,false,0.0,1.0227272727272727,11.395890410958902,0.5659090909090909,8.473972602739726,16.702272727272728,110.34657534246573
3/14/2021,6139339.0,42.0,0.6841127359150554,4987417.0,30.0,0.6015137695524557,false,0.0,1.0250000000000001,11.247945205479452,0.4477272727272727,8.250684931506848,16.724999999999998,110.80273972602738
3/21/2021,6139339.0,37.0,0.6026707435442153,4987417.0,23.0,0.46116055665688266,false,0.0,1.0795454545454546,11.330136986301369,0.5545454545454546,8.435616438356163,16.697727272727274,111.40958904109587
3/28/2021,6139339.0,58.0,0.944727111501743,4987417.0,38.0,0.7619174414331106,false,0.0,1.0227272727272727,11.56986301369863,0.43863636363636366,8.757534246575341,16.693181818181817,111.65205479452052
4/4/2021,6139339.0,57.0,0.9284387130275751,4987417.0,45.0,0.9022706543286837,false,0.0,1.0250000000000001,11.778082191780822,0.5181818181818182,9.191780821917808,16.725,112.14246575342464
4/11/2021,6139339.0,70.0,1.140187893191759,4987417.0,56.0,1.122825703164584,false,0.0,1.0545454545454545,11.893150684931506,0.4431818181818182,9.520547945205477,16.797727272727272,114.21232876712328
4/18/2021,6139339.0,67.0,1.091322697769255,4987417.0,53.0,1.0626743262093383,false,0.0,1.0681818181818181,12.106849315068493,0.5477272727272727,10.026027397260275,16.861363636363635,113.35753424657534
4/25/2021,6139339.0,88.0,1.4333790657267826,4987417.0,66.0,1.3233302930154027,false,5.87000230109269,1.0886363636363636,12.053424657534245,0.7295454545454546,9.636986301369864,16.89318181818182,113.85068493150688
5/2/2021,6139339.0,63.0,1.026169103872583,4987417.0,47.0,0.9423715722988473,true,10.3169722369072,1.125,12.158904109589043,0.5681818181818182,9.786301369863015,16.888636363636365,114.76027397260275
5/9/2021,6139339.0,75.0,1.2216298855625989,4987417.0,49.0,0.982472490269011,false,2.78857629307684,1.0681818181818181,11.976712328767123,0.425,9.6027397260274,16.863636363636363,113.06986301369864
5/16/2021,6139339.0,47.0,0.7655547282858953,4987417.0,43.0,0.8621697363585199,true,7.59965895588504,1.0681818181818181,11.846575342465753,0.5681818181818182,9.509589041095893,16.895454545454545,112.98630136986301
5/23/2021,6139339.0,38.0,0.6189591420183834,4987417.0,30.0,0.6015137695524557,false,2.45468077421403,1.0681818181818181,11.742465753424657,0.625,9.379452054794521,16.90681818181818,113.08904109589041
5/30/2021,6139339.0,36.0,0.5863823450700474,4987417.0,24.0,0.48121101564196456,false,1.33193762820102,1.125,11.553424657534247,0.5318181818181817,9.06986301369863,16.98409090909091,111.23287671232876
6/6/2021,6139339.0,41.0,0.6678243374408873,4987417.0,29.0,0.5814633105673739,false,0.0,1.0681818181818181,11.527397260273972,0.475,9.412328767123288,16.96136363636364,113.14794520547945
6/13/2021,6139339.0,26.0,0.4234983603283676,4987417.0,18.0,0.36090826173147345,true,7.07134995284454,1.0681818181818181,11.241095890410959,0.6045454545454546,8.776712328767125,16.93409090909091,112.47671232876714
6/20/2021,6139339.0,25.0,0.40720996185419966,4987417.0,21.0,0.421059638686719,false,0.0,1.0909090909090908,11.084931506849312,0.6454545454545454,8.112328767123289,16.920454545454547,111.66301369863014
6/27/2021,6139339.0,14.0,0.22803757863835178,4987417.0,10.0,0.20050458985081857,false,3.52894893894235,1.0681818181818181,11.10821917808219,0.6227272727272727,8.605479452054794,16.786363636363635,112.32739726027394
7/4/2021,6139339.0,14.0,0.22803757863835178,4987417.0,12.0,0.24060550782098228,false,3.68129245801393,1.0681818181818181,11.098630136986303,0.5477272727272727,8.342465753424658,16.65909090909091,111.47260273972601
7/11/2021,6139339.0,15.0,0.24432597711251977,4987417.0,9.0,0.18045413086573672,false,4.51396008040678,1.0113636363636365,11.078082191780823,0.5613636363636364,8.542465753424654,16.677272727272726,113.3808219178082
7/18/2021,6139339.0,10.0,0.16288398474167984,4987417.0,10.0,0.20050458985081857,false,2.20491381478913,1.0113636363636365,11.436986301369863,0.39545454545454545,8.71095890410959,16.70909090909091,113.96986301369864
7/25/2021,6139339.0,26.0,0.4234983603283676,4987417.0,12.0,0.24060550782098228,false,0.0,1.0113636363636365,11.476712328767125,0.3977272727272727,8.898630136986302,16.795454545454547,113.63835616438357
8/1/2021,6139339.0,25.0,0.40720996185419966,4987417.0,19.0,0.3809587207165553,false,3.68129245801393,1.0113636363636365,11.64109589041096,0.4454545454545455,9.14931506849315,16.697727272727274,113.43698630136988
8/8/2021,6139339.0,29.0,0.4723635557508715,4987417.0,27.0,0.5413623925972101,false,4.68016896924325,1.0113636363636365,11.591780821917808,0.4295454545454545,8.984931506849314,16.720454545454544,114.02054794520548
8/15/2021,6139339.0,36.0,0.5863823450700474,4987417.0,30.0,0.6015137695524557,true,9.72642430682469,1.0681818181818181,11.672602739726026,0.6272727272727273,9.223287671232876,16.602272727272723,114.16164383561643
8/22/2021,6139339.0,54.0,0.8795735176050711,4987417.0,46.0,0.9223211133137653,false,2.20497571711907,1.0681818181818181,11.665753424657535,0.4636363636363636,9.415068493150686,16.62272727272727,113.58219178082194
8/29/2021,6139339.0,61.0,0.993592306924247,4987417.0,53.0,1.0626743262093383,false,3.174777004626,0.9772727272727273,11.889041095890411,0.5477272727272727,9.680821917808219,16.952272727272728,114.06438356164385
9/5/2021,6139339.0,83.0,1.3519370733559428,4987417.0,51.0,1.0225734082391749,true,9.18514201795361,1.0681818181818181,11.854794520547946,0.6272727272727273,9.643835616438356,16.786363636363635,114.18219178082191
9/12/2021,6139339.0,93.0,1.5148210580976225,4987417.0,71.0,1.423582587940812,true,9.64193510150476,1.0113636363636365,11.953424657534248,0.5772727272727273,9.860273972602739,16.775000000000002,114.78630136986304
9/19/2021,6139339.0,115.0,1.8731658245293183,4987417.0,91.0,1.824591767642449,true,10.2773152805764,1.0113636363636365,11.753424657534246,0.6204545454545455,9.871232876712329,16.754545454545454,114.65890410958905
9/26/2021,6139339.0,128.0,2.084915004693502,4987417.0,86.0,1.7243394727170398,true,8.49254311988869,0.9772727272727273,11.69041095890411,0.6795454545454546,9.682191780821917,16.786363636363635,114.2109589041096
10/3/2021,6139339.0,160.0,2.6061437558668774,4987417.0,116.0,2.3258532422694955,true,15.1030812988576,1.0045454545454546,11.841095890410958,0.7363636363636363,9.9,16.64090909090909,115.1876712328767
10/10/2021,6139339.0,154.0,2.5084133650218696,4987417.0,100.0,2.0050458985081856,true,13.6135968846303,1.125,11.768493150684932,0.8977272727272727,9.82054794520548,16.74772727272727,114.96986301369861
10/17/2021,6139339.0,176.0,2.8667581314535653,4987417.0,96.0,1.9248440625678582,true,10.3337391944547,1.0909090909090908,11.919178082191783,0.7613636363636364,10.053424657534245,16.66590909090909,114.16986301369863
10/24/2021,6139339.0,176.0,2.8667581314535653,4987417.0,120.0,2.406055078209823,true,15.1741267434802,0.9772727272727273,11.81095890410959,0.6272727272727273,9.767123287671232,16.634090909090908,114.772602739726
10/31/2021,6139339.0,194.0,3.159949303988589,4987417.0,136.0,2.7268624219711324,true,19.1328343095798,1.0681818181818181,11.78904109589041,0.6863636363636364,9.713698630136985,16.713636363636365,114.62739726027397
11/7/2021,6139339.0,211.0,3.4368520780494447,4987417.0,143.0,2.8672156348667053,true,19.9679889226979,1.0840909090909092,12.042465753424656,0.7909090909090909,10.287671232876713,16.663636363636364,115.51506849315066
11/14/2021,6139339.0,255.0,4.1535416109128365,4987417.0,177.0,3.548931240359489,true,25.8209400702132,1.2204545454545455,12.156164383561643,0.9386363636363636,10.52054794520548,16.599999999999998,115.77123287671229
11/21/2021,6139339.0,275.0,4.479309580396196,4987417.0,211.0,4.230646845852272,true,27.3620633674298,1.1204545454545456,12.176712328767122,0.85,10.593150684931505,16.64090909090909,115.88630136986302
11/28/2021,6139339.0,299.0,4.870231143776227,4987417.0,219.0,4.391050517732927,true,31.4995803703522,1.184090909090909,12.343835616438357,0.8568181818181819,10.658904109589042,16.63636363636364,114.97397260273974
12/5/2021,6139339.0,293.0,4.77250075293122,4987417.0,221.0,4.43115143570309,true,32.8605324707193,0.9863636363636363,12.238356164383562,0.7818181818181817,10.771232876712329,16.643181818181816,116.13561643835618
12/12/2021,6139339.0,292.0,4.756212354457051,4987417.0,218.0,4.371000058747845,true,32.8777557652869,0.9272727272727272,12.210958904109589,0.7840909090909091,10.683561643835617,16.568181818181817,115.26712328767121
12/19/2021,6139339.0,228.0,3.7137548521103003,4987417.0,188.0,3.769486289195389,true,33.4764777999162,1.0454545454545454,11.887671232876713,0.8340909090909091,10.465753424657535,16.427272727272726,112.18630136986302
12/26/2021,6139339.0,254.0,4.137253212438668,4987417.0,204.0,4.0902936329566995,true,22.9459836476129,0.9295454545454546,11.675342465753424,0.7386363636363636,10.065753424657533,15.840909090909092,108.45479452054795
