date,outcome,case_count,total_pop,Rate
4/22/2021,death,3,5562663,0.05
4/23/2021,death,15,5562663,0.27
4/24/2021,death,11,5562663,0.2
4/25/2021,death,15,5562663,0.27
4/26/2021,death,15,5562663,0.27
4/27/2021,death,7,5562663,0.13
4/28/2021,death,14,5562663,0.25
4/29/2021,death,8,5562663,0.14
4/30/2021,death,11,5562663,0.2
5/1/2021,death,7,5562663,0.13
5/2/2021,death,8,5562663,0.14
5/3/2021,death,5,5562663,0.09
5/4/2021,death,13,5562663,0.23
5/5/2021,death,9,5562663,0.16
5/6/2021,death,5,5562663,0.09
5/7/2021,death,8,5562663,0.14
5/8/2021,death,7,5562663,0.13
5/9/2021,death,9,5562663,0.16
5/10/2021,death,8,5562663,0.14
5/11/2021,death,6,5562663,0.11
5/12/2021,death,9,5562663,0.16
5/13/2021,death,9,5562663,0.16
5/14/2021,death,11,5562663,0.2
5/15/2021,death,10,5562663,0.18
5/16/2021,death,6,5562663,0.11
5/17/2021,death,6,5562663,0.11
5/18/2021,death,7,5562663,0.13
5/19/2021,death,2,5562663,0.04
5/20/2021,death,5,5562663,0.09
5/21/2021,death,7,5562663,0.13
5/22/2021,death,12,5562663,0.22
5/23/2021,death,5,5562663,0.09
5/24/2021,death,5,5562663,0.09
5/25/2021,death,6,5562663,0.11
5/26/2021,death,3,5562663,0.05
5/27/2021,death,7,5562663,0.13
5/28/2021,death,2,5562663,0.04
5/29/2021,death,6,5562663,0.11
5/30/2021,death,4,5562663,0.07
5/31/2021,death,3,5562663,0.05
6/1/2021,death,5,5562663,0.09
6/2/2021,death,8,5562663,0.14
6/3/2021,death,4,5562663,0.07
6/4/2021,death,4,5562663,0.07
6/5/2021,death,2,5562663,0.04
6/6/2021,death,5,5562663,0.09
6/7/2021,death,4,5562663,0.07
6/8/2021,death,4,5562663,0.07
6/9/2021,death,4,5562663,0.07
6/10/2021,death,6,5562663,0.11
6/11/2021,death,6,5562663,0.11
6/12/2021,death,6,5562663,0.11
6/13/2021,death,3,5562663,0.05
6/14/2021,death,3,5562663,0.05
6/15/2021,death,2,5562663,0.04
6/16/2021,death,2,5562663,0.04
6/17/2021,death,4,5562663,0.07
6/18/2021,death,2,5562663,0.04
6/19/2021,death,6,5562663,0.11
6/20/2021,death,1,5562663,0.02
6/21/2021,death,5,5562663,0.09
6/22/2021,death,3,5562663,0.05
